data,company,n,delta,Lat,Lon
2017-03-23,EGAL SRL,51,0,45.5962,9.01754
2017-03-23,XIA JINGYE,4,0,45.6158,9.08152
2017-03-23,MADEBLACK SRL,26,0,45.6508,9.84802
2017-03-23,JIANG XIUJIN,1,1,45.7133,8.90516
2017-03-24,GESM SPA FASHION FACTORY,3,1,45.5846,10.4382
2017-03-24,EGAL SRL,6,0,45.5962,9.01754
2017-03-24,MADEBLACK SRL,58,0,45.6508,9.84802
2017-03-27,EGAL SRL,46,0,45.5962,9.01754
2017-03-27,XIA JINGYE,5,0,45.6158,9.08152
2017-03-27,MADEBLACK SRL,60,0,45.6508,9.84802
2017-03-28,GESM SPA FASHION FACTORY,2,1,45.5846,10.4382
2017-03-28,EGAL SRL,14,0,45.5962,9.01754
2017-03-28,MADEBLACK SRL,37,0,45.6508,9.84802
2017-03-29,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-03-29,EGAL SRL,46,0,45.5962,9.01754
2017-03-29,MADEBLACK SRL,72,0,45.6508,9.84802
2017-03-30,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-03-30,EGAL SRL,8,0,45.5962,9.01754
2017-03-30,XIA JINGYE,5,0,45.6158,9.08152
2017-03-30,MADEBLACK SRL,29,0,45.6508,9.84802
2017-03-31,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-03-31,EGAL SRL,53,0,45.5962,9.01754
2017-03-31,XIA JINGYE,2,0,45.6158,9.08152
2017-03-31,MADEBLACK SRL,60,0,45.6508,9.84802
2017-03-31,LAMEC SRL,8,0,45.6885,8.84434
2017-04-03,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-04-03,EGAL SRL,34,0,45.5962,9.01754
2017-04-03,MADEBLACK SRL,110,0,45.6508,9.84802
2017-04-04,GESM SPA FASHION FACTORY,2,1,45.5846,10.4382
2017-04-04,EGAL SRL,15,0,45.5962,9.01754
2017-04-04,XIA JINGYE,4,0,45.6158,9.08152
2017-04-04,MADEBLACK SRL,15,0,45.6508,9.84802
2017-04-05,EGAL SRL,28,0,45.5962,9.01754
2017-04-05,MADEBLACK SRL,25,1,45.6508,9.84802
2017-04-06,EGAL SRL,15,0,45.5962,9.01754
2017-04-06,XIA JINGYE,1,1,45.6158,9.08152
2017-04-06,MADEBLACK SRL,80,0,45.6508,9.84802
2017-04-07,EGAL SRL,20,0,45.5962,9.01754
2017-04-07,MADEBLACK SRL,47,0,45.6508,9.84802
2017-04-10,GESM SPA FASHION FACTORY,3,3,45.5846,10.4382
2017-04-10,EGAL SRL,14,0,45.5962,9.01754
2017-04-10,XIA JINGYE,3,0,45.6158,9.08152
2017-04-10,MADEBLACK SRL,5,0,45.6508,9.84802
2017-04-11,EGAL SRL,34,0,45.5962,9.01754
2017-04-11,XIA JINGYE,1,1,45.6158,9.08152
2017-04-11,MADEBLACK SRL,54,0,45.6508,9.84802
2017-04-12,EGAL SRL,25,0,45.5962,9.01754
2017-04-12,XIA JINGYE,1,0,45.6158,9.08152
2017-04-12,MADEBLACK SRL,36,0,45.6508,9.84802
2017-04-13,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-04-13,EGAL SRL,21,0,45.5962,9.01754
2017-04-13,XIA JINGYE,2,0,45.6158,9.08152
2017-04-13,MADEBLACK SRL,66,0,45.6508,9.84802
2017-04-14,GESM SPA FASHION FACTORY,14,0,45.5846,10.4382
2017-04-14,EGAL SRL,15,0,45.5962,9.01754
2017-04-14,XIA JINGYE,1,1,45.6158,9.08152
2017-04-14,MADEBLACK SRL,23,0,45.6508,9.84802
2017-04-18,GESM SPA FASHION FACTORY,8,0,45.5846,10.4382
2017-04-18,EGAL SRL,27,0,45.5962,9.01754
2017-04-18,XIA JINGYE,1,0,45.6158,9.08152
2017-04-18,MADEBLACK SRL,39,0,45.6508,9.84802
2017-04-19,GESM SPA FASHION FACTORY,3,0,45.5846,10.4382
2017-04-19,EGAL SRL,17,1,45.5962,9.01754
2017-04-19,MADEBLACK SRL,47,0,45.6508,9.84802
2017-04-20,GESM SPA FASHION FACTORY,6,0,45.5846,10.4382
2017-04-20,EGAL SRL,8,1,45.5962,9.01754
2017-04-20,MADEBLACK SRL,79,0,45.6508,9.84802
2017-04-21,EGAL SRL,21,0,45.5962,9.01754
2017-04-21,MADEBLACK SRL,11,0,45.6508,9.84802
2017-04-26,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-04-26,EGAL SRL,22,5,45.5962,9.01754
2017-04-26,MADEBLACK SRL,92,0,45.6508,9.84802
2017-04-27,MADEBLACK SRL,55,0,45.6508,9.84802
2017-04-28,GESM SPA FASHION FACTORY,6,0,45.5846,10.4382
2017-04-28,EGAL SRL,12,0,45.5962,9.01754
2017-04-28,MADEBLACK SRL,77,0,45.6508,9.84802
2017-05-02,EGAL SRL,16,0,45.5962,9.01754
2017-05-02,MADEBLACK SRL,120,0,45.6508,9.84802
