data,company,n,delta,Lat,Lon
2017-03-24,CAROLLO SRL,5,0,45.7542,8.89674
2017-03-24,COLOR-PLAST SRL,4,0,45.7133,8.90516
2017-03-24,NORDIMBALLI SRL,1,1,45.7245,9.03806
2017-03-29,CAROLLO SRL,6,0,45.7542,8.89674
2017-03-29,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
2017-03-29,COLOR-PLAST SRL,3,0,45.7133,8.90516
2017-03-30,EUROMINUTERIE SRL,1,0,45.4077,11.8734
2017-03-30,CAROLLO SRL,1,1,45.7542,8.89674
2017-03-30,METALLURGICA LOMBARDA SRL,4,0,45.3987,8.91623
2017-03-30,NOVA RAMPALUX SNC,7,0,45.6915,8.93154
2017-03-31,ITALIAN CONVERTER SRL,1,1,45.3171,8.8586
2017-03-31,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-03-31,MAFLEX SRL,1,0,45.6851,8.93814
2017-04-03,OMS ITALIA SRL,6,3,43.7755,11.4399
2017-04-04,C&C METAL PRODUCTS CORP.METAL,2,1,40.8929,-73.9726
2017-04-04,QUADRIFER SRL,7,0,45.7133,8.90516
2017-04-04,OLTRONA PLAST SRL,3,0,45.7156,8.98307
2017-04-05,COLOR-PLAST SRL,4,1,45.7133,8.90516
2017-04-06,CAROLLO SRL,2,0,45.7542,8.89674
2017-04-06,METALLURGICA LOMBARDA SRL,4,0,45.3987,8.91623
2017-04-06,TESSITURA ATTILIO IMPERIALI SP,5,0,45.7701,8.99589
2017-04-07,METALLURGICA LOMBARDA SRL,3,1,45.3987,8.91623
2017-04-10,OMS ITALIA SRL,2,0,43.7755,11.4399
2017-04-10,EUROMINUTERIE SRL,1,0,45.4077,11.8734
2017-04-10,PRIORE SRL,7,0,45.7045,8.87429
2017-04-10,COLOR-PLAST SRL,1,3,45.7133,8.90516
2017-04-10,QUADRIFER SRL,2,0,45.7133,8.90516
2017-04-11,CHERRY CHARM XIAO LING RAIMEN,7,0,33.0821,10.7031
2017-04-11,COLOR-PLAST SRL,4,1,45.7133,8.90516
2017-04-11,METALLURGICA LOMBARDA SRL,5,0,45.3987,8.91623
2017-04-12,CIDIEMME S.R.L.,1,1,44.6459,10.9256
2017-04-12,CASSANOGOMMA SRL,2,0,45.6744,8.8243
2017-04-13,OMS ITALIA SRL,3,0,43.7755,11.4399
2017-04-13,CAROLLO SRL,5,0,45.7542,8.89674
2017-04-13,MARIO UBOLDI,2,0,45.7133,8.90516
2017-04-13,IL GRANELLO SCARL,3,0,45.6588,8.97193
2017-04-13,OROPRESS SPA,1,1,45.5445,9.16762
2017-04-14,QUADRIFER SRL,1,1,45.7133,8.90516
2017-04-14,OLTRONA PLAST SRL,2,0,45.7156,8.98307
2017-04-18,C&C METAL PRODUCTS CORP.METAL,3,4,40.8929,-73.9726
2017-04-19,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-04-19,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-04-19,SICAD SPA,1,0,45.6153,9.00394
2017-04-20,MANICARDI SRL,1,0,44.7836,10.8855
2017-04-20,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-04-21,METALLURGICA LOMBARDA SRL,12,0,45.3987,8.91623
2017-04-26,GOERLACH  BESATZSCHMUCK  GmbH,2,5,47.8804,10.6222
2017-04-26,OMS ITALIA SRL,2,0,43.7755,11.4399
2017-04-28,DIMAR TANNERY SRL,4,0,45.4898,11.3623
2017-04-28,PRIORE SRL,2,0,45.7045,8.87429
2017-04-28,CAROLLO SRL,2,0,45.7542,8.89674
2017-04-28,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-04-28,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
2017-04-28,CED MARKET ITALIA SRL,1,1,45.6087,9.51984
