data,company,n,delta,Lat,Lon
2017-03-08,WORTRAD INTERNATIONAL SRL,11,0,45.6257,9.03733
2017-03-08,XIA JINGYE,3,0,45.6158,9.08152
2017-03-08,EGAL SRL,10,0,45.5962,9.01754
2017-03-08,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-03-09,JIANG XIUJIN,6,0,45.7133,8.90516
2017-03-09,MAFLEX SRL,3,0,45.6851,8.93814
2017-03-09,MADEBLACK SRL,67,0,45.6508,9.84802
2017-03-09,XIA JINGYE,5,0,45.6158,9.08152
2017-03-09,EGAL SRL,43,0,45.5962,9.01754
2017-03-09,GESM SPA FASHION FACTORY,8,0,45.5846,10.4382
2017-03-10,MADEBLACK SRL,65,0,45.6508,9.84802
2017-03-10,XIA JINGYE,4,0,45.6158,9.08152
2017-03-10,EGAL SRL,17,0,45.5962,9.01754
2017-03-10,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-03-13,MADEBLACK SRL,49,0,45.6508,9.84802
2017-03-13,EGAL SRL,15,0,45.5962,9.01754
2017-03-13,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-03-14,MADEBLACK SRL,25,0,45.6508,9.84802
2017-03-14,XIA JINGYE,6,0,45.6158,9.08152
2017-03-14,EGAL SRL,21,0,45.5962,9.01754
2017-03-15,MADEBLACK SRL,61,0,45.6508,9.84802
2017-03-15,EGAL SRL,34,0,45.5962,9.01754
2017-03-15,GESM SPA FASHION FACTORY,3,1,45.5846,10.4382
2017-03-16,MADEBLACK SRL,39,0,45.6508,9.84802
2017-03-16,EGAL SRL,31,0,45.5962,9.01754
2017-03-16,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-03-17,MADEBLACK SRL,52,0,45.6508,9.84802
2017-03-17,WORTRAD INTERNATIONAL SRL,3,1,45.6257,9.03733
2017-03-17,EGAL SRL,22,0,45.5962,9.01754
2017-03-18,EGAL SRL,3,0,45.5962,9.01754
2017-03-20,MADEBLACK SRL,62,0,45.6508,9.84802
2017-03-20,EGAL SRL,26,0,45.5962,9.01754
2017-03-21,JIANG XIUJIN,2,0,45.7133,8.90516
2017-03-21,MAFLEX SRL,1,1,45.6851,8.93814
2017-03-21,MADEBLACK SRL,37,0,45.6508,9.84802
2017-03-21,XIA JINGYE,6,0,45.6158,9.08152
2017-03-21,EGAL SRL,8,0,45.5962,9.01754
2017-03-21,GESM SPA FASHION FACTORY,3,0,45.5846,10.4382
2017-03-22,MADEBLACK SRL,52,0,45.6508,9.84802
2017-03-22,XIA JINGYE,24,0,45.6158,9.08152
2017-03-22,EGAL SRL,20,0,45.5962,9.01754
2017-03-22,GESM SPA FASHION FACTORY,1,0,45.5846,10.4382
2017-03-23,MADEBLACK SRL,45,0,45.6508,9.84802
2017-03-23,XIA JINGYE,9,0,45.6158,9.08152
2017-03-23,EGAL SRL,23,0,45.5962,9.01754
2017-03-24,MADEBLACK SRL,51,0,45.6508,9.84802
2017-03-24,XIA JINGYE,10,0,45.6158,9.08152
2017-03-24,EGAL SRL,23,0,45.5962,9.01754
2017-03-24,GESM SPA FASHION FACTORY,5,1,45.5846,10.4382
2017-03-27,MAFLEX SRL,2,3,45.6851,8.93814
2017-03-27,MADEBLACK SRL,50,0,45.6508,9.84802
2017-03-27,XIA JINGYE,6,0,45.6158,9.08152
2017-03-27,EGAL SRL,23,0,45.5962,9.01754
2017-03-28,MADEBLACK SRL,51,0,45.6508,9.84802
2017-03-28,XIA JINGYE,6,0,45.6158,9.08152
2017-03-28,EGAL SRL,19,0,45.5962,9.01754
2017-03-28,GESM SPA FASHION FACTORY,2,1,45.5846,10.4382
2017-03-29,LAMEC SRL,8,0,45.6885,8.84434
2017-03-29,MADEBLACK SRL,34,0,45.6508,9.84802
2017-03-29,XIA JINGYE,5,0,45.6158,9.08152
2017-03-29,EGAL SRL,11,0,45.5962,9.01754
2017-03-29,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-03-30,MADEBLACK SRL,45,0,45.6508,9.84802
2017-03-30,XIA JINGYE,10,1,45.6158,9.08152
