data	company	n	delta	Lat	Lon
2017-02-06	CALZATURIFICIO NERI SRL	6	0	45.4173	12.0332
2017-02-06	RICCI ENRICO SRL	1	0	44.1065	12.4149
2017-02-06	FENDI SRL	38	0	41.8933	12.4829
2017-02-06	MENGHI SHOES & CO. S.R.L.	4	0	43441	13.6088
2017-02-06	FED SRL	1	0	42821	13.7179
2017-02-06	LEO SHOES SRL	3	0	40.0109	18.1617
2017-02-06	CHRISTIAN LOUBOUTIN SAS	33	0	48.8566	2.3515
2017-02-06	USE INTERNATIONAL ZRT	6	0	48.1032	20.7902
2017-02-06	GIOVANNI MONTE SRL	4	0	45.5586	8.94789
2017-02-06	C.L. SERVICES TECHNIQUES SRL	5	0	45.5567	8.97774
2017-02-06	NOVARLUX ITALIA SRL	3	0	45.5567	8.97774
2017-02-06	SEYMECHAMLOU SRL	2	0	45.5567	8.97774
2017-02-06	DOLCE & GABBANA SRL	34	0	45.4668	9.1905
2017-02-06	VALENTINO SPA	20	0	45.4668	9.1905
2017-02-06	WHITE SRL SOC. UNIPERSONALE	2	0	45.4668	9.1905
2017-02-06	MADEBLACK SRL	13	0	45.6508	9.84802
2017-02-07	DECKERS BRANDS-UGG	13	0	34.4358	-119828
2017-02-07	LIA BOO ACCESSORIES	2	0	50.4501	30524
2017-02-07	CANO ART. CALZADO S.L.	27	0	38.5869	-0.672549
2017-02-07	DISGRAMARC S.L.	4	0	38479	-0.795676
2017-02-07	THE ALDO GROUP	13	0	-37.4835	-72.3324
2017-02-07	H.HABITU	13	0	40.7306	-73.9866
2017-02-07	KATE SPADE & COMPANY	25	0	40.7306	-73.9866
2017-02-07	LAFAYETTE 148	13	0	40.7306	-73.9866
2017-02-07	SIMONA B USA	9	0	40.7306	-73.9866
2017-02-07	ZANG TOI / SZT LLC	13	0	40.7306	-73.9866
2017-02-07	ONDA DE MAR	16	0	6.25598	-75.58
2017-02-07	LIA Y CO. S.A.	9	0	15.6356	-89.8988
2017-02-07	FREELAND SRL CALZATURE	2	0	43.7292	10.8082
2017-02-07	RIVER GROUP SPA	4	0	43.7292	10.8082
2017-02-07	SALVATORE FERRAGAMO SPA	2	0	43.7699	11.2556
2017-02-07	STUDIO MAGGIO SRL	12	0	43.7699	11.2556
2017-02-07	NILLAB SRL	2	0	45.4173	12.0332
2017-02-07	GABOR SHOES AG	5	0	47.8539	12.1273
2017-02-07	FENDI SRL	28	0	41.8933	12.4829
2017-02-07	KALLISTE'  SRL	1	0	45.4991	12.5449
2017-02-07	MODALAB SRL	4	0	38.0151	12.7242
2017-02-07	NOVARESE SRL	1	0	43.2485	13.5092
2017-02-07	BAMBOLETTA SRL	3	0	43.3055	13.7229
2017-02-07	MERCURI MODA SRL	12	0	43.2567	13.7608
2017-02-07	LN MANIFACTURING SRL	7	0	40.8359	14.2488
2017-02-07	GIERRE & SON  SRL UNIPERSONALE	3	0	40.9045	14.3511
2017-02-07	LEO SHOES SRL	5	0	40.0109	18.1617
2017-02-07	GABOR SPOL S.R.O.	10	0	49.2197	18.7397
2017-02-07	CHRISTIAN LOUBOUTIN SAS	4	0	48.8566	2.3515
2017-02-07	MANDO SARL	7	0	48.8566	2.3515
2017-02-07	ARTI MODA S.A.L.	8	1	33.9093	35.5781
2017-02-07	CALZATURIFICIO MARTINI SRL	1	0	45.7465	8.43607
2017-02-07	LA GRIFFE SRL	12	0	45.5586	8.94789
2017-02-07	NOVARLUX ITALIA SRL	3	0	45.5567	8.97774
2017-02-07	SEYMECHAMLOU SRL	2	0	45.5567	8.97774
2017-02-07	DOLCE & GABBANA SRL	21	0	45.4668	9.1905
2017-02-07	VALENTINO SPA	13	0	45.4668	9.1905
2017-02-08	DISGRAMARC S.L.	1	0	38479	-0.795676
2017-02-08	HENRI BENDEL	22	0	40.7306	-73.9866
2017-02-08	ALTERNATIVA DE MODA SAS TOUCHE	2	0	6.25598	-75.58
2017-02-08	RUCOLINE SPA	3	0	43.8295	10.5303
2017-02-08	RIVER GROUP SPA	1	0	43.7292	10.8082
2017-02-08	BOTTONIFICIO LEONARDO SRL	2	0	43.7332	11.0209
2017-02-08	ARTIGIANI DEL LUSSO DI DEVITO	1	0	43771	11.1072
2017-02-08	BULGARI ACCESSORI SRL	1	0	43.7699	11.2556
2017-02-08	FURLA SPA	27	0	44.4716	11.4049
2017-02-08	CALZATURIFICIO NERI SRL	3	0	45.4173	12.0332
2017-02-08	TOMMY SRL	1	0	45.4173	12.0332
2017-02-08	RICCI ENRICO SRL	2	0	44.1065	12.4149
2017-02-08	EFFEUNO SRL	4	0	41.8933	12.4829
2017-02-08	FENDI SRL	29	0	41.8933	12.4829
2017-02-08	MENGHI SHOES & CO. S.R.L.	6	0	43441	13.6088
2017-02-08	CALZATURIFICIO ROMIT SPA	2	0	43.2325	13.6316
2017-02-08	MERCURI MODA SRL	4	0	43.2567	13.7608
2017-02-08	SANTAMARIA SRL	1	0	40.9732	14.2049
2017-02-08	ABC CARUSO GROUP SRL	1	1	40.8359	14.2488
2017-02-08	LEO SHOES SRL	6	0	40.0109	18.1617
2017-02-08	CHRISTIAN LOUBOUTIN SAS	10	0	48.8566	2.3515
2017-02-08	MANDO SARL	1	0	48.8566	2.3515
2017-02-08	JAIME MASCARO S.A	2	0	39.9833	4.01095
2017-02-08	C.L. SERVICES TECHNIQUES SRL	15	0	45.5567	8.97774
2017-02-08	SEYMECHAMLOU SRL	8	0	45.5567	8.97774
2017-02-08	DOLCE & GABBANA SRL	38	0	45.4668	9.1905
